1,Eric Dickerson*,1984,24,2-Jan,RAM,NFL,16,16,379,2105,5.55,14,131.6
2,Adrian Peterson,2012,27,7-Jan,MIN,NFL,16,16,348,2097,6.03,12,131.1
3,Jamal Lewis,2003,24,5-Jan,BAL,NFL,16,16,387,2066,5.34,14,129.1
4,Barry Sanders *,1997,29,3-Jan,DET,NFL,16,16,335,2053,6.13,11,128.3
5,Terrell Davis *,1998,26,6-196,DEN,NFL,16,16,392,2008,5.12,21,125.5
6,Chris Johnson,2009,24,24-Jan,TEN,NFL,16,16,358,2006,5.6,14,125.4
7,O.J. Simpson*,1973,26,1-Jan,BUF,NFL,14,14,332,2003,6.03,12,143.1
8,Earl Campbell*,1980,25,1-Jan,HOU,NFL,15,15,373,1934,5.18,13,128.9
9,Ahman Green,2003,26,Mar-76,GNB,NFL,16,16,355,1883,5.3,15,117.7
10,Barry Sanders *,1994,26,3-Jan,DET,NFL,16,16,331,1883,5.69,7,117.7
11,Shaun Alexander,2005,28,19-Jan,SEA,NFL,16,16,370,1880,5.08,27,117.5
12,Tiki Barber,2005,30,Feb-36,NYG,NFL,16,16,357,1860,5.21,9,116.3
13,Ricky Williams,2002,25,5-Jan,MIA,NFL,16,16,383,1853,4.84,16,115.8
14,Walter Payton*,1977,23,4-Jan,CHI,NFL,14,14,339,1852,5.46,14,132.3
15,Jamal Anderson,1998,26,7-201,ATL,NFL,16,16,410,1846,4.5,14,115.4
16,DeMarco Murray,2014,26,Mar-71,DAL,NFL,16,16,392,1845,4.71,13,115.3
17,Eric Dickerson*,1986,26,2-Jan,RAM,NFL,16,16,404,1821,4.51,11,113.8
18,O.J. Simpson*,1975,28,1-Jan,BUF,NFL,14,14,329,1817,5.52,16,129.8
19,LaDainian Tomlinson*,2006,27,5-Jan,SDG,NFL,16,16,348,1815,5.22,28,113.4
20,Eric Dickerson*,1983,23,2-Jan,RAM,NFL,16,16,390,1808,4.64,18,113
21,Larry Johnson,2006,27,27-Jan,KAN,NFL,16,16,416,1789,4.3,17,111.8
22,Emmitt Smith*,1995,26,17-Jan,DAL,NFL,16,16,377,1773,4.7,25,110.8
23,Adrian Peterson,2008,23,7-Jan,MIN,NFL,16,15,363,1760,4.85,10,110
24,Marcus Allen*,1985,25,10-Jan,RAI,NFL,16,16,380,1759,4.63,11,109.9
25,Terrell Davis *,1997,25,6-196,DEN,NFL,15,15,369,1750,4.74,15,116.7
26,Larry Johnson,2005,26,27-Jan,KAN,NFL,16,9,336,1750,5.21,20,109.4
27,Gerald Riggs,1985,25,9-Jan,ATL,NFL,16,16,397,1719,4.33,10,107.4
28,Emmitt Smith*,1992,23,17-Jan,DAL,NFL,16,16,373,1713,4.59,18,107.1
29,Edgerrin James*,2000,22,4-Jan,IND,NFL,16,16,387,1709,4.42,13,106.8
30,Michael Turner,2008,26,5-154,ATL,NFL,16,16,376,1699,4.52,17,106.2
31,Earl Campbell*,1979,24,1-Jan,HOU,NFL,16,16,368,1697,4.61,19,106.1
32,Curtis Martin *,2004,31,Mar-74,NYJ,NFL,16,16,371,1697,4.57,12,106.1
