Year,Drafted,RB
2020,255,18
2019,254,25
2018,256,21
2017,253,30
2016,253,23
2015,256,22
2014,256,21
2013,254,26
2012,253,21
2011,254,29
2010,255,15
2009,256,23
2008,252,27
2007,255,24
2006,255,19
2005,255,25
2004,255,19
2003,262,25
2002,261,27
2001,246,19
2000,254,23
1999,253,26
1998,241,29
1997,240,22
1996,254,31
1995,249,25
1994,222,28
1993,224,21
1992,336,32
1991,334,41
1990,331,42
1989,335,46
1988,333,41
1987,335,55
1986,333,48
1985,336,34
1984,336,48
1983,335,46
1982,334,43
1981,332,45
1980,333,47
1979,330,47
