Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
Derrick Henry,TEN,25,RB,15,15,303,1540,16,73,74,5.1,102.7,5,2019
Ezekiel Elliott,DAL,24,RB,16,16,301,1357,12,78,33,4.5,84.8,3,2019
Nick Chubb,CLE,24,RB,16,16,298,1494,8,62,88,5,93.4,3,2019
Christian McCaffrey,CAR,23,RB,16,16,287,1387,15,57,84,4.8,86.7,1,2019
Chris Carson,SEA,25,RB,15,15,278,1230,7,75,59,4.4,82,7,2019
Joe Mixon,CIN,23,RB,16,15,278,1137,5,56,41,4.1,71.1,0,2019
Leonard Fournette,JAX,24,RB,15,15,265,1152,3,55,81,4.3,76.8,1,2019
Dalvin Cook,MIN,24,RB,14,14,250,1135,13,60,75,4.5,81.1,4,2019
Marlon Mack,IND,23,RB,14,12,247,1091,8,67,63,4.4,77.9,0,2019
Sony Michel,NWE,24,RB,16,14,247,912,7,55,26,3.7,57,2,2019
Le'Veon Bell,NYJ,27,RB,15,15,245,789,3,36,19,3.2,52.6,1,2019
Carlos Hyde,HOU,29,RB,16,14,245,1070,6,55,58,4.4,66.9,4,2019
Josh Jacobs,OAK,21,RB,13,13,242,1150,7,53,51,4.8,88.5,1,2019
David Montgomery,CHI,22,RB,16,8,242,889,6,50,55,3.7,55.6,2,2019
Aaron Jones,GNB,25,RB,16,16,236,1084,16,55,56,4.6,67.8,3,2019
Phillip Lindsay,DEN,25,RB,16,16,224,1011,7,38,40,4.5,63.2,0,2019
Todd Gurley,LAR,25,RB,15,15,223,857,12,51,25,3.8,57.1,3,2019
Saquon Barkley,NYG,22,RB,13,13,217,1003,6,45,68,4.6,77.2,1,2019
Adrian Peterson,WAS,34,RB,15,15,211,898,5,41,32,4.3,59.9,3,2019
Mark Ingram,BAL,30,RB,15,15,202,1018,10,53,53,5,67.9,2,2019
Devonta Freeman,ATL,27,RB,14,14,184,656,2,31,28,3.6,46.9,3,2019
Miles Sanders,PHI,22,RB,16,11,179,818,3,30,65,4.6,51.1,2,2019
Lamar Jackson,BAL,22,QB,15,15,176,1206,7,71,47,6.9,80.4,9,2019
Ronald Jones II,TAM,22,RB,16,9,172,724,6,34,49,4.2,45.3,3,2019
Alvin Kamara,NOR,24,RB,14,9,171,797,5,32,40,4.7,56.9,4,2019
Kenyan Drake,2TM,25,RB,14,10,170,817,8,48,80,4.8,58.4,2,2019
Frank Gore,BUF,36,RB,16,8,166,599,2,30,41,3.6,37.4,0,2019
Melvin Gordon,LAC,26,RB,12,11,162,612,8,39,24,3.8,51,4,2019
Peyton Barber,TAM,25,RB,16,7,154,470,6,23,17,3.1,29.4,1,2019
Ezekiel Elliott,DAL,23,RB,15,15,304,1434,6,84,41,4.7,95.6,6,2018
Saquon Barkley,NYG,21,RB,16,16,261,1307,11,50,78,5,81.7,0,2018
David Johnson,ARI,27,RB,16,16,258,940,7,51,53,3.6,58.8,3,2018
Todd Gurley,LAR,24,RB,14,14,256,1251,17,75,36,4.9,89.4,1,2018
Adrian Peterson,WAS,33,RB,16,16,251,1042,7,47,90,4.2,65.1,3,2018
Jordan Howard,CHI,24,RB,16,15,250,935,9,55,42,3.7,58.4,2,2018
Chris Carson,SEA,24,RB,14,14,247,1151,9,61,61,4.7,82.2,3,2018
Joe Mixon,CIN,22,RB,14,13,237,1168,8,60,51,4.9,83.4,0,2018
Peyton Barber,TAM,24,RB,16,16,234,871,5,41,28,3.7,54.4,1,2018
Christian McCaffrey,CAR,22,RB,16,16,219,1098,7,53,59,5,68.6,4,2018
James Conner,PIT,23,RB,13,12,215,973,12,56,30,4.5,74.8,4,2018
Derrick Henry,TEN,24,RB,16,12,215,1059,12,51,99,4.9,66.2,1,2018
Lamar Miller,HOU,27,RB,14,14,210,973,5,38,97,4.6,69.5,1,2018
Sony Michel,NWE,23,RB,13,8,209,931,6,73,34,4.5,71.6,1,2018
Marlon Mack,IND,22,RB,12,10,195,908,9,60,49,4.7,75.7,2,2018
Alvin Kamara,NOR,23,RB,15,13,194,883,14,64,49,4.6,58.9,1,2018
Nick Chubb,CLE,23,RB,16,9,192,996,8,47,92,5.2,62.3,0,2018
Phillip Lindsay,DEN,24,RB,15,8,192,1037,9,49,65,5.4,69.1,0,2018
Kareem Hunt,KAN,23,RB,11,11,181,824,7,46,45,4.6,74.9,0,2018
Melvin Gordon,LAC,25,RB,12,12,175,885,10,51,34,5.1,73.8,1,2018
Carlos Hyde,2TM,28,RB,14,7,172,571,5,27,22,3.3,40.8,2,2018
Doug Martin,OAK,29,RB,16,9,172,723,4,37,29,4.2,45.2,3,2018
Tevin Coleman,ATL,25,RB,16,14,167,800,4,36,65,4.8,50,2,2018
LeSean McCoy,BUF,30,RB,14,13,161,514,3,22,28,3.2,36.7,0,2018
Frank Gore,MIA,35,RB,14,14,156,722,0,25,39,4.6,51.6,1,2018
Dion Lewis,TEN,28,RB,16,7,155,517,1,22,36,3.3,32.3,1,2018
LeGarrette Blount,DET,32,RB,16,8,154,418,5,25,27,2.7,26.1,2,2018
Matt Breida,SFO,23,RB,14,13,153,814,3,36,66,5.3,58.1,1,2018
Alfred Blue,HOU,27,RB,16,2,150,499,2,26,17,3.3,31.2,0,2018
Le'Veon Bell,PIT,25,RB,15,15,321,1291,9,71,27,4,86.1,3,2017
LeSean McCoy,BUF,29,RB,16,16,287,1138,6,57,48,4,71.1,3,2017
Melvin Gordon,LAC,24,RB,16,16,284,1105,8,61,87,3.9,69.1,1,2017
Todd Gurley,LAR,23,RB,15,15,279,1305,13,69,57,4.7,87,5,2017
Jordan Howard,CHI,23,RB,16,16,276,1122,9,65,53,4.1,70.1,1,2017
Kareem Hunt,KAN,22,RB,16,16,272,1327,8,63,69,4.9,82.9,1,2017
Leonard Fournette,JAX,22,RB,13,13,268,1040,9,51,90,3.9,80,2,2017
Frank Gore,IND,34,RB,16,16,261,961,3,49,21,3.7,60.1,3,2017
C.J. Anderson,DEN,26,RB,16,16,245,1007,3,47,40,4.1,62.9,1,2017
Ezekiel Elliott,DAL,22,RB,10,10,242,983,7,57,30,4.1,98.3,1,2017
Carlos Hyde,SFO,27,RB,16,16,240,938,8,48,61,3.9,58.6,2,2017
Lamar Miller,HOU,26,RB,16,13,238,888,3,45,21,3.7,55.5,1,2017
Mark Ingram,NOR,28,RB,16,12,230,1124,12,52,72,4.9,70.3,3,2017
Latavius Murray,MIN,27,RB,16,11,216,842,8,43,46,3.9,52.6,1,2017
Alex Collins,BAL,23,RB,15,12,212,973,6,53,50,4.6,64.9,4,2017
Jay Ajayi,2TM,24,RB,14,8,208,873,1,0,71,4.2,62.4,3,2017
Marshawn Lynch,OAK,31,RB,15,15,207,891,7,45,51,4.3,59.4,1,2017
Isaiah Crowell,CLE,24,RB,16,16,206,853,2,39,59,4.1,53.3,1,2017
Jonathan Stewart,CAR,30,RB,15,10,198,680,6,42,60,3.4,45.3,3,2017
Devonta Freeman,ATL,25,RB,14,14,196,865,7,55,44,4.4,61.8,4,2017
DeMarco Murray,TEN,29,RB,15,15,184,659,6,33,75,3.6,43.9,1,2017
Dion Lewis,NWE,27,RB,16,8,180,896,6,49,44,5,56,0,2017
Joe Mixon,CIN,21,RB,14,7,178,626,4,39,25,3.5,44.7,3,2017
Bilal Powell,NYJ,29,RB,15,10,178,772,5,32,75,4.3,51.5,1,2017
Derrick Henry,TEN,23,RB,16,2,176,744,5,40,75,4.2,46.5,1,2017
Samaje Perine,WAS,22,RB,16,8,175,603,1,23,30,3.4,37.7,2,2017
LeGarrette Blount,PHI,31,RB,16,11,173,766,2,33,68,4.4,47.9,1,2017
Orleans Darkwa,NYG,25,RB,15,11,171,751,5,35,75,4.4,50.1,1,2017
Ameer Abdullah,DET,24,RB,14,11,165,552,4,26,34,3.3,39.4,2,2017
Ezekiel Elliott,DAL,21,RB,15,15,322,1631,15,95,60,5.1,108.7,5,2016
LeGarrette Blount,NWE,30,RB,16,8,299,1161,18,68,44,3.9,72.6,2,2016
David Johnson,ARI,25,RB,16,16,293,1239,16,73,58,4.2,77.4,5,2016
DeMarco Murray,TEN,28,RB,16,16,293,1287,9,67,75,4.4,80.4,3,2016
Todd Gurley,LAR,22,RB,16,16,278,885,6,49,24,3.2,55.3,2,2016
Lamar Miller,HOU,25,RB,14,14,268,1073,5,55,45,4,76.6,2,2016
Frank Gore,IND,33,RB,16,16,263,1025,4,50,22,3.9,64.1,2,2016
Le'Veon Bell,PIT,24,RB,12,12,261,1268,7,70,44,4.9,105.7,4,2016
Jay Ajayi,MIA,23,RB,15,12,260,1272,8,63,62,4.9,84.8,4,2016
Melvin Gordon,SDG,23,RB,13,11,254,997,10,62,48,3.9,76.7,2,2016
Jordan Howard,CHI,22,RB,15,13,252,1313,6,73,69,5.2,87.5,2,2016
LeSean McCoy,BUF,28,RB,15,15,234,1267,13,56,75,5.4,84.5,3,2016
Devonta Freeman,ATL,24,RB,16,16,227,1079,11,66,75,4.8,67.4,1,2016
Jeremy Hill,CIN,24,RB,15,13,222,839,9,46,74,3.8,55.9,0,2016
Matt Forte,NYJ,31,RB,14,13,218,813,7,36,32,3.7,58.1,1,2016
Jonathan Stewart,CAR,29,RB,13,13,218,824,9,49,47,3.8,63.4,3,2016
Carlos Hyde,SFO,26,RB,13,13,217,988,6,48,47,4.6,76,5,2016
Spencer Ware,KAN,25,RB,14,14,214,921,3,50,46,4.3,65.8,4,2016
Mark Ingram,NOR,27,RB,16,14,205,1043,6,50,75,5.1,65.2,2,2016
Isaiah Crowell,CLE,23,RB,16,16,198,952,7,45,85,4.8,59.5,2,2016
Latavius Murray,OAK,26,RB,14,12,195,788,12,52,42,4,56.3,2,2016
Terrance West,BAL,25,RB,16,13,193,774,5,38,41,4,48.4,2,2016
Rashad Jennings,NYG,31,RB,13,12,181,593,3,29,25,3.3,45.6,1,2016
Devontae Booker,DEN,24,RB,16,6,174,612,4,31,18,3.5,38.3,4,2016
Robert Kelley,WAS,24,RB,15,9,168,704,6,30,66,4.2,46.9,0,2016
Jerick McKinnon,MIN,24,RB,15,7,159,539,2,21,36,3.4,35.9,0,2016
Ryan Mathews,PHI,29,RB,13,8,155,661,8,40,30,4.3,50.8,3,2016
Christine Michael,2TM,26,RB,15,7,148,583,7,0,42,3.9,38.9,2,2016
Doug Martin,TAM,27,RB,8,8,144,421,3,24,17,2.9,52.6,1,2016
Adrian Peterson,MIN,30,RB,16,16,327,1485,11,72,80,4.5,92.8,7,2015
Doug Martin,TAM,26,RB,16,16,288,1402,6,68,84,4.9,87.6,5,2015
Latavius Murray,OAK,25,RB,16,16,266,1066,6,49,54,4,66.6,4,2015
Devonta Freeman,ATL,23,RB,15,13,265,1056,11,71,39,4,70.4,3,2015
Frank Gore,IND,32,RB,16,16,260,967,6,48,37,3.7,60.4,4,2015
Chris Ivory,NYJ,27,RB,15,14,247,1070,7,51,58,4.3,71.3,4,2015
Jonathan Stewart,CAR,28,RB,13,13,242,989,6,43,44,4.1,76.1,3,2015
Darren McFadden,DAL,28,RB,16,10,239,1089,3,53,50,4.6,68.1,3,2015
Todd Gurley,STL,21,RB,13,12,229,1106,10,47,71,4.8,85.1,3,2015
Jeremy Hill,CIN,23,RB,16,15,223,794,11,47,38,3.6,49.6,3,2015
Matt Forte,CHI,30,RB,13,13,218,898,4,47,27,4.1,69.1,2,2015
Ronnie Hillman,DEN,24,RB,16,10,207,863,7,44,72,4.2,53.9,3,2015
LeSean McCoy,BUF,27,RB,12,12,203,895,3,42,48,4.4,74.6,2,2015
Alfred Morris,WAS,27,RB,16,16,202,751,1,35,48,3.7,46.9,0,2015
DeAngelo Williams,PIT,32,RB,16,10,200,907,11,53,55,4.5,56.7,4,2015
Chris Johnson,ARI,30,RB,11,9,196,814,3,33,62,4.2,74,2,2015
Rashad Jennings,NYG,30,RB,16,16,195,863,3,42,38,4.4,53.9,2,2015
Lamar Miller,MIA,24,RB,16,16,194,872,8,41,85,4.5,54.5,1,2015
DeMarco Murray,PHI,27,RB,15,8,193,702,6,48,54,3.6,46.8,2,2015
Eddie Lacy,GNB,25,RB,15,12,187,758,3,39,29,4.1,50.5,4,2015
Isaiah Crowell,CLE,22,RB,16,9,185,706,4,35,54,3.8,44.1,0,2015
Melvin Gordon,SDG,22,RB,14,12,184,641,0,36,27,3.5,45.8,6,2015
Alfred Blue,HOU,24,RB,16,9,183,698,2,34,41,3.8,43.6,2,2015
T.J. Yeldon,JAX,22,RB,12,12,182,740,2,29,45,4.1,61.7,0,2015
Mark Ingram,NOR,26,RB,12,10,166,769,6,47,70,4.6,64.1,2,2015
LeGarrette Blount,NWE,29,RB,12,6,165,703,6,39,38,4.3,58.6,1,2015
Charcandrick West,KAN,24,RB,15,9,160,634,4,36,38,4,42.3,1,2015
Giovani Bernard,CIN,24,RB,16,1,154,730,2,36,28,4.7,45.6,1,2015
C.J. Anderson,DEN,24,RB,15,6,152,720,5,34,48,4.7,48,2,2015
DeMarco Murray,DAL,26,RB,16,16,392,1845,13,89,51,4.7,115.3,6,2014
LeSean McCoy,PHI,26,RB,16,16,312,1319,5,68,53,4.2,82.4,4,2014
Le'Veon Bell,PIT,22,RB,16,16,290,1361,8,75,81,4.7,85.1,0,2014
Marshawn Lynch,SEA,28,RB,16,14,280,1306,13,67,79,4.7,81.6,4,2014
Matt Forte,CHI,29,RB,16,16,266,1038,6,65,32,3.9,64.9,2,2014
Alfred Morris,WAS,26,RB,16,16,265,1074,8,53,30,4.1,67.1,2,2014
Arian Foster,HOU,28,RB,13,13,260,1246,8,55,51,4.8,95.8,2,2014
Frank Gore,SFO,31,RB,16,16,255,1106,4,55,52,4.3,69.1,2,2014
Eddie Lacy,GNB,24,RB,16,16,246,1139,9,60,44,4.6,71.2,3,2014
Justin Forsett,BAL,29,RB,16,14,235,1266,8,57,52,5.4,79.1,2,2014
Mark Ingram,NOR,25,RB,13,9,226,964,9,52,31,4.3,74.2,3,2014
Joique Bell,DET,28,RB,15,6,223,860,7,45,57,3.9,57.3,5,2014
Jeremy Hill,CIN,22,RB,16,8,222,1124,9,61,85,5.1,70.3,5,2014
Andre Williams,NYG,22,RB,16,7,217,721,7,32,50,3.3,45.1,1,2014
Lamar Miller,MIA,23,RB,16,16,216,1099,8,57,97,5.1,68.7,3,2014
Jamaal Charles,KAN,28,RB,15,15,206,1033,9,51,63,5,68.9,5,2014
Andre Ellington,ARI,25,RB,12,12,201,660,3,31,22,3.3,55,2,2014
Chris Ivory,NYJ,26,RB,16,10,198,821,6,43,71,4.1,51.3,2,2014
Steven Jackson,ATL,31,RB,15,15,190,707,6,38,55,3.7,47.1,0,2014
